Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
AGUSTÍN VILAPLANA 221F0000009-00079F.PDF,No encontrado,(no encontrado),No,
AGUSTÍN VILAPLANA 221F0000084-00079F.PDF,No encontrado,(no encontrado),No,
AMAZON ES243AWAEUI.pdf,No encontrado,(no encontrado),No,
BBS BÜROSYSTEME INV-ES-120079181-2022-315.pdf,No encontrado,(no encontrado),No,
CANAL ISABEL II 220000179311.pdf,No encontrado,(no encontrado),No,
COMERCÍAL FAMA FV22-00301.pdf,No encontrado,(no encontrado),No,
COMUVARTE F5.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA125.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA164.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA30.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA57.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA76.pdf,No encontrado,(no encontrado),No,
CONECTA ESPAZIO INV-ES-903815495-2022-57.pdf,No encontrado,(no encontrado),No,
DE LAGE LANDEN SP76312200006821.pdf,No encontrado,(no encontrado),No,
GRÁFICAS IZQUIERDO Factura_num_0-22017.PDF,No encontrado,(no encontrado),No,
GRÁFICAS IZQUIERDO Factura_num_0-22043.PDF,No encontrado,(no encontrado),No,
GUANGZHOULIA INV-DE-1546915325-2022-19.pdf,No encontrado,(no encontrado),No,
IBERDROLA 21220107010339506.pdf,No encontrado,(no encontrado),No,
IBERDROLA 21220127010262279.pdf,No encontrado,(no encontrado),No,
JN BORDADOS FAC-FR22-111-152331.pdf,No encontrado,(no encontrado),No,
JN BORDADOS FAC-FR22-112-152332.pdf,No encontrado,(no encontrado),No,
LIDL SUPERMERCADOS T208341-04.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-012-172888.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-014-260916.pdf,No encontrado,(no encontrado),No,
SECANETA 20220121_153.pdf,No encontrado,(no encontrado),No,
SECANETA 20220128_A_16.pdf,No encontrado,(no encontrado),No,
SERED Factura-SH-2022-12589.pdf,No encontrado,(no encontrado),No,
SERED Factura-SH-2022-6082.pdf,No encontrado,(no encontrado),No,
SOLS_ 2201FV02720.PDF,No encontrado,(no encontrado),No,
SOL_S 2201FV00874.PDF,No encontrado,(no encontrado),No,
SOL_S 2201FV01480.PDF,No encontrado,(no encontrado),No,
SOL_S 2201FV04582.PDF,No encontrado,(no encontrado),No,
TELPARK ES2022-885551.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022015014.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022015015.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-2110.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-293.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-360.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-417.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-800.pdf,No encontrado,(no encontrado),No,
YUNCHENGSHIYANHUQUQI ES-00116.pdf,No encontrado,(no encontrado),No,
