Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ADIVIN F2022_105394.pdf,Número de factura (archivo),105394,Sí,48
ALQUILER FACTURA 1.pdf,Número de factura (PDF),1,Sí,15
AMAZON ES2IRRAEUI.pdf,Número de factura (PDF),ES2IRRAEUI,Sí,5
BAR REFUGIO 2021-34.pdf,Número de factura (PDF),2021-34,Sí,53
BAR REFUGIO Factura 2021-34.pdf,Número de factura (PDF),2021-34,Sí,53
BAR REFUGIO Factura 2022-36.pdf,Número de factura (PDF),2022-36,Sí,71
BAR REFUGIO Factura#2021-32.pdf,Número de factura (PDF),2021-32,Sí,26
BAR REFUGIO Factura#2021-33.pdf,Número de factura (PDF),2021-33,Sí,47
BORTRANSER Factura 1-000001.pdf,Número de factura (archivo),000001,Sí,14
COSTCO 5477-2022-00205481.pdf,Número de factura (archivo),00205481,Sí,60
COSTCO 5477-2022-00300361.pdf,Número de factura (archivo),00300361,Sí,24
COSTCO 5477-2022-00484697.pdf,Número de factura (archivo),00484697,Sí,18
COSTCO 5477-2022-00489238.pdf,Número de factura (archivo),00489238,Sí,76
FALK & ROSS Factura_2022440241.pdf,Número de factura (archivo),2022440241,Sí,29
FALK & ROSS Factura_2022441238.pdf,Número de factura (archivo),2022441238,Sí,44
GOOGLE 4058028861.pdf,Número de factura (archivo),4058028861,Sí,85
GOR_INV_220000543_ES.pdf,Número de factura (archivo),220000543,Sí,4
GOR_INV_220001992_ES.pdf,Número de factura (archivo),220001992,Sí,7
GOR_INV_220003262_ES.pdf,Número de factura (archivo),220003262,Sí,16
GOR_INV_220004158_ES.pdf,Número de factura (archivo),220004158,Sí,21
GOR_INV_220005755_ES.pdf,Número de factura (archivo),220005755,Sí,30
GOR_INV_220006524_ES.pdf,Número de factura (archivo),220006524,Sí,33
GOR_INV_220007380_ES.pdf,Número de factura (archivo),220007380,Sí,39
GOR_INV_220010502_ES.pdf,Número de factura (archivo),220010502,Sí,57
GOR_INV_220011263_ES.pdf,Número de factura (archivo),220011263,Sí,62
GOR_INV_220011918_ES.pdf,Número de factura (archivo),220011918,Sí,63
GOR_INV_220014489_ES.pdf,Número de factura (archivo),220014489,Sí,74
GOR_INV_220015291_ES.pdf,Número de factura (archivo),220015291,Sí,83
GOR_INV_220016156_ES.pdf,Número de factura (archivo),220016156,Sí,86
GRAMMA Factura BUZOSALAO CREATIVE S.L. 1-000049.pdf,Número de factura (archivo),000049,Sí,90
IMPRESIÓN A2 Factura A20220035.pdf,Número de factura (archivo),20220035,Sí,8
JHK 2201278_ESCL007255.pdf,Número de factura (archivo),2201278,Sí,23
JHK 2201914_ESCL007255.pdf,Número de factura (archivo),2201914,Sí,34
JHK 2202703_ESCL007255.pdf,Número de factura (archivo),2202703,Sí,50
JHK 2204421_ESCL007255.pdf,Número de factura (archivo),2204421,Sí,78
JOYLU SPORT 22000516.pdf,Número de factura (archivo),22000516,Sí,45
LOGOS SEGURIDAD FACC220149_280122_121338_3992.pdf,Número de factura (archivo),220149,Sí,79
MAKITO Abono 2201190095 07.01.2022.PDF,Número de factura (archivo),2201190095,Sí,11
MAKITO Factura 2201100578 05.01.2022.PDF,Número de factura (archivo),2201100578,Sí,9
MAKITO Factura 2201106524 13.01.2022.PDF,Número de factura (archivo),2201106524,Sí,31
MAKITO Factura 2201107560 14.01.2022.PDF,Número de factura (archivo),2201107560,Sí,35
MAKITO Factura 2201108374 17.01.2022.PDF,Número de factura (archivo),2201108374,Sí,40
MAKITO Factura 2201109315 18.01.2022.PDF,Número de factura (archivo),2201109315,Sí,46
MAKITO Factura 2201115784 26.01.2022.PDF,Número de factura (archivo),2201115784,Sí,68
MAKITO Factura 2201119035 31.01.2022.PDF,Número de factura (archivo),2201119035,Sí,93
MAKITO Factura 2201119880 31.01.2022.PDF,Número de factura (archivo),2201119880,Sí,94
MAKITO Factura 2201120859 31.01.2022.PDF,Número de factura (archivo),2201120859,Sí,95
MAKITO Factura 2201121195 31.01.2022.PDF,Número de factura (archivo),2201121195,Sí,96
NEW VAWE Invoice_40296325.pdf,Número de factura (archivo),40296325,Sí,58
NEW WAVE Invoice_40297062.pdf,Número de factura (archivo),40297062,Sí,77
ONLINEPRINTERS RG_045018315_1.PDF,Número de factura (archivo),045018315,Sí,69
PF CONCEPT 1_903270.pdf,Número de factura (archivo),903270,Sí,73
PMAS FULL SPORT 22-0079-P1_242866366.pdf,Número de factura (PDF),22-0079-P1,Sí,66
RAMÓN LÓPEZ RL200347 LaImprentaBarata REV.pdf,Número de factura (archivo),200347,Sí,6
STAMPROF 202200009.pdf,Número de factura (archivo),202200009,Sí,70
TEXTIL MALLORCA 2200551.pdf,Número de factura (archivo),2200551,Sí,36
TEXTIL MALLORCA 2201185.pdf,Número de factura (archivo),2201185,Sí,88
TOP TEX FACTURA - F22002055.pdf,Número de factura (archivo),22002055,Sí,65
TOPTEX FACTURA - F22002688.pdf,Número de factura (archivo),22002688,Sí,81
TOPTEX FACTURA - F22002753.pdf,Número de factura (archivo),22002753,Sí,82
VALENTO FACTURA ELECTRONICA A767443.pdf,Número de factura (archivo),767443,Sí,52
VALENTO FACTURA ELECTRONICA A768038.pdf,Número de factura (archivo),768038,Sí,56
VODAFONE ZI22-000137377.pdf,Número de factura (archivo),000137377,Sí,1
VOLKSWAGEN RENTING S22040059.pdf,Número de factura (archivo),22040059,Sí,10
