Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
AMAZON AEU-SIM-INV-ES-2022-2875821.pdf,No encontrado,(no encontrado),No,
CASAS ASIN 2022-082.pdf,No encontrado,(no encontrado),No,
MERCADONA 014-270946.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-010-188908.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-014-267566.pdf,No encontrado,(no encontrado),No,
PROCORNELLA Factura1-22-F-55.pdf,No encontrado,(no encontrado),No,
SECANETA 20220204_412.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022015262.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-11509.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-8207.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-1276.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-1541.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-1544.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-1907.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-927.pdf,No encontrado,(no encontrado),No,
