Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
A.S. LA ATALAYA 100322.pdf,No encontrado,(no encontrado),No,
A.S. LA ATALAYA 7644.pdf,No encontrado,(no encontrado),No,
AGUSTÍN VILAPLANA 221F0000270-00079F.PDF,No encontrado,(no encontrado),No,
AMAZON ES21Y1IAEUC.pdf,No encontrado,(no encontrado),No,
AMAZON ES2QR9ZAEUI.pdf,No encontrado,(no encontrado),No,
AMAZON ES2TWZEAEUI.pdf,No encontrado,(no encontrado),No,
AMAZON ES2U9ETAEUI.pdf,No encontrado,(no encontrado),No,
AMAZON ES2XKC3AEUI.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00252-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00261-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00268-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00304-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00316-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00326-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00331-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00338-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00343-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00348-2022.pdf,No encontrado,(no encontrado),No,
CANAL ISABEL II 220001723912.pdf,No encontrado,(no encontrado),No,
CASHDISPLAY 205909.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA437.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA440.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA492.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA517.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA533.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA541.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA558.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA575.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA576.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA627.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA670.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA671.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA693.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA712.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA729.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA762.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA781.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA789.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA810.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA822.pdf,No encontrado,(no encontrado),No,
DE LAGE LANDEN SP76312200025797.pdf,No encontrado,(no encontrado),No,
DECTAHLON 22-0005-0001041715.pdf,No encontrado,(no encontrado),No,
DOMIS BARITTER INV-ES-134124191-2022-376.pdf,No encontrado,(no encontrado),No,
FOSHANSHI 405-5353389-4912306.pdf,No encontrado,(no encontrado),No,
GRAMMA Factura BUZOSALAO CREATIVE S.L. 1-000049.pdf,No encontrado,(no encontrado),No,
GRÁFICAS IZQUIERDO Factura_num_0-22127.PDF,No encontrado,(no encontrado),No,
IBERDROLA 21220328010244321.pdf,No encontrado,(no encontrado),No,
JN BORDADOS FAC-FR22-542-156805.pdf,No encontrado,(no encontrado),No,
MARCAJE GALÁN F22-662.pdf,No encontrado,(no encontrado),No,
MASGUANT FA20977.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-010-193218.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-010-198390.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-010-202378.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-014-281027.pdf,No encontrado,(no encontrado),No,
MIDOCEAN_Invoice_103684975.pdf,No encontrado,(no encontrado),No,
ONLINEPRINTERS CRM__G04000003776.pdf,No encontrado,(no encontrado),No,
ONLINEPRINTERS CRM__G04000003786.pdf,No encontrado,(no encontrado),No,
ONLINEPRINTERS CRM__G04000003790.pdf,No encontrado,(no encontrado),No,
ONLINEPRINTERS CRM__G04000003793.pdf,No encontrado,(no encontrado),No,
ONLINEPRINTERS CRM__G04000003795.pdf,No encontrado,(no encontrado),No,
ONLINEPRINTERS CRM__G04000003798.pdf,No encontrado,(no encontrado),No,
ONLINEPRINTERS CRM__G04000003800.pdf,No encontrado,(no encontrado),No,
ONLINEPRINTERS INV_164562300721461_R04100081305.pdf,No encontrado,(no encontrado),No,
ONLINEPRINTERS INV_164572692570531_R04100081755.pdf,No encontrado,(no encontrado),No,
ONLINEPRINTERS INV_164624797265031_R04100082851.pdf,No encontrado,(no encontrado),No,
