Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
BK SPAIN 315-129059.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00383-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00404-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00411-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00416-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00426-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00440-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00449-2022.pdf,No encontrado,(no encontrado),No,
CAFETERÍA CAMPOS DE HOCKEY 260422.pdf,No encontrado,(no encontrado),No,
REST. D_GALGOS 190422.pdf,No encontrado,(no encontrado),No,
REST. EL ALTILLO 192552-T-001.pdf,No encontrado,(no encontrado),No,
SHEN ZHEN AIDIYI RZG-ES-202204002.pdf,No encontrado,(no encontrado),No,
TED GIFTED 0829 04 22 WDTS.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022015629.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022015630.pdf,No encontrado,(no encontrado),No,
TROFEOS BALBINO F64-22.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-20008.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-22242.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-22382.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-3509.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-3591.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-3936.pdf,No encontrado,(no encontrado),No,
