Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ADIVIN F2022_110971.pdf,Número de factura (archivo),110971,Sí,443
ADIVIN F2022_112941.pdf,Número de factura (archivo),112941,Sí,528
ALQUILER FACTURA 7.pdf,Número de factura (PDF),7,Sí,444
BAZARES TULIPANES ROJOS 2022036578.pdf,Número de factura (archivo),2022036578,Sí,541
BORTRANSER Factura 1-000020.pdf,Número de factura (archivo),000020,Sí,465
CIFRA CE22162592.pdf,Número de factura (archivo),22162592,Sí,436
CIFRA CE22163871.pdf,Número de factura (archivo),22163871,Sí,475
CIFRA CE22163909.pdf,Número de factura (archivo),22163909,Sí,479
CORREOS 4003374673.pdf,Número de factura (archivo),4003374673,Sí,534
CORREOS 4200104494.pdf,Número de factura (archivo),4200104494,Sí,538
COSTCO 5477-2022-00222840.pdf,Número de factura (archivo),00222840,Sí,441
COSTCO 5477-2022-00225988.pdf,Número de factura (archivo),00225988,Sí,490
COSTCO 5477-2022-00331049.pdf,Número de factura (archivo),00331049,Sí,500
COSTCO 5477-2022-00333184.pdf,Número de factura (archivo),00333184,Sí,527
COSTCO 5477-2022-00511465.pdf,Número de factura (archivo),00511465,Sí,442
EUYIN factura 20220226.pdf,Número de factura (archivo),20220226,Sí,476
GOOGLE 4115132321.pdf,Número de factura (archivo),4115132321,Sí,533
GOR_INV_220058149_ES.pdf,Número de factura (archivo),220058149,Sí,413
GOR_INV_220059288_ES.pdf,Número de factura (archivo),220059288,Sí,426
GOR_INV_220060658_ES.pdf,Número de factura (archivo),220060658,Sí,430
GOR_INV_220061869_ES.pdf,Número de factura (archivo),220061869,Sí,438
GOR_INV_220063074_ES.pdf,Número de factura (archivo),220063074,Sí,447
GOR_INV_220066501_ES.pdf,Número de factura (archivo),220066501,Sí,466
GOR_INV_220067488_ES.pdf,Número de factura (archivo),220067488,Sí,471
GOR_INV_220069721_ES.pdf,Número de factura (archivo),220069721,Sí,481
GOR_INV_220070921_ES.pdf,Número de factura (archivo),220070921,Sí,487
GOR_INV_220072073_ES.pdf,Número de factura (archivo),220072073,Sí,495
GOR_INV_220073109_ES.pdf,Número de factura (archivo),220073109,Sí,499
GOR_INV_220074319_ES.pdf,Número de factura (archivo),220074319,Sí,507
GOR_INV_220075616_ES.pdf,Número de factura (archivo),220075616,Sí,512
GOR_INV_220078171_ES.pdf,Número de factura (archivo),220078171,Sí,525
GRAMMA Factura BUZOSALAO CREATIVE S.L. 1-000212.pdf,Número de factura (archivo),000212,Sí,532
IMPRESIONES DIGITAL CAMP F2000329.pdf,Número de factura (archivo),2000329,Sí,431
JHK 2219529_ESCL007255.pdf,Número de factura (archivo),2219529,Sí,482
JHK 2220443ESCL007255.pdf,Número de factura (archivo),2220443,Sí,491
JHK 2221232_ESCL007255.pdf,Número de factura (archivo),2221232,Sí,513
JHK 2222025_ESCL007255.pdf,Número de factura (archivo),2222025,Sí,522
M2M SISTEMAS Factura de clientes_2022000860_20220421_144101.pdf,Número de factura (archivo),2022000860,Sí,489
MAKITO 2204121941.PDF,Número de factura (archivo),2204121941,Sí,519
MAKITO 2204127393.PDF,Número de factura (archivo),2204127393,Sí,535
MAKITO Factura 2204104639 07.04.2022.PDF,Número de factura (archivo),2204104639,Sí,448
MAKITO Factura 2204106169 08.04.2022.PDF,Número de factura (archivo),2204106169,Sí,453
MAKITO Factura 2204106170 08.04.2022.PDF,Número de factura (archivo),2204106170,Sí,454
