Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
AMAZON ES21RUR8AEUI.pdf,No encontrado,(no encontrado),No,
BKA SPORT 000225.PDF,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00481-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00513-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00517-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00518-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 0052-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00542-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00551-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00560-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00565-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00570-2022.pdf,No encontrado,(no encontrado),No,
BURGUER KING 146-11701865205.pdf,No encontrado,(no encontrado),No,
GOR_INV_220114131_ES.pdf,No encontrado,(no encontrado),No,
JHK 2231132_ESCL007255.pdf,No encontrado,(no encontrado),No,
JHK 2231214_ESCL007255.pdf,No encontrado,(no encontrado),No,
MAKITO 2206116803.pdf,No encontrado,(no encontrado),No,
NEW WAVE Invoice_40310723.pdf,No encontrado,(no encontrado),No,
REG. MERCANTILES DE MADRID 20220705135508.pdf,No encontrado,(no encontrado),No,
SAXOPRINT F-606107874.pdf,No encontrado,(no encontrado),No,
SHENZHENSHIPENGCHUANGLONGYING CN-IT-170705221-2022-20.pdf,No encontrado,(no encontrado),No,
SOLRED T22000016624.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022015815.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022015816.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-26364.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-32471.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-34472.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-38238.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-38613.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-4352.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-4576.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-4638.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-4680.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-4846.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-4888.pdf,No encontrado,(no encontrado),No,
VALENTO FACTURA ELECTRONICA A826043.pdf,No encontrado,(no encontrado),No,
ZINTEX Z_22_0536.pdf,No encontrado,(no encontrado),No,
