Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ADIVIN F2022_113499.pdf,Número de factura (archivo),113499,Sí,552
ADIVIN F2022_113977.pdf,Número de factura (archivo),113977,Sí,572
ADIVIN F2022_114319.pdf,Número de factura (archivo),114319,Sí,586
ADIVIN F2022_115465.pdf,Número de factura (archivo),115465,Sí,621
ADIVIN F2022_116152.pdf,Número de factura (archivo),116152,Sí,646
ADIVIN F2022_116179.pdf,Número de factura (archivo),116179,Sí,647
ADIVIN F2022_116732.pdf,Número de factura (archivo),116732,Sí,665
ALQUILER FACTURA 9.pdf,Número de factura (PDF),9,Sí,582
AMAZON ES2-2301933.pdf,Número de factura (archivo),2301933,Sí,579
ANTONIO MARTÍN MARTÍN  Factura 012.pdf,Número de factura (PDF),012/2022,Sí,641
AURGI VALDEMORO F2205C59000476.pdf,Número de factura (archivo),59000476,Sí,601
BAHAUS FA1-351-43-153088.pdf,Número de factura (archivo),153088,Sí,602
BORTRANSER Factura 1-000028.pdf,Número de factura (archivo),000028,Sí,551
CIA PETROLEOS 00002473.pdf,Número de factura (archivo),00002473,Sí,596
CORREOS 4003398151.pdf,Número de factura (archivo),4003398151,Sí,686
CORREOS 4200111989.pdf,Número de factura (archivo),4200111989,Sí,687
COSTCO 5477-2022-00230559.pdf,Número de factura (archivo),00230559,Sí,581
COSTCO 5477-2022-00525281.pdf,Número de factura (archivo),00525281,Sí,628
COSTCO 5477-2022-00529342.pdf,Número de factura (archivo),00529342,Sí,696
COTCO 5477-2022-00340038.pdf,Número de factura (archivo),00340038,Sí,630
CREATIVELAB factura_7-002008.pdf,Número de factura (archivo),002008,Sí,670
CREATIVELAB factura_7-002034.pdf,Número de factura (archivo),002034,Sí,674
E.S. VALDEMORO FIE00929581.pdf,Número de factura (archivo),00929581,Sí,657
FALK & ROSS Abono Mercancia 2022466943.pdf,Número de factura (archivo),2022466943,Sí,590
FALK & ROSS Factura_2022464036.pdf,Número de factura (archivo),2022464036,Sí,546
FALK & ROSS Factura_2022465514.pdf,Número de factura (archivo),2022465514,Sí,575
GOOGLE 4155135593.pdf,Número de factura (archivo),4155135593,Sí,684
GOR_INV_220081385_ES.pdf,Número de factura (archivo),220081385,Sí,548
GOR_INV_220082698_ES.pdf,Número de factura (archivo),220082698,Sí,554
GOR_INV_220084031_ES.pdf,Número de factura (archivo),220084031,Sí,560
GOR_INV_220085206_ES.pdf,Número de factura (archivo),220085206,Sí,565
GOR_INV_220086503_ES.pdf,Número de factura (archivo),220086503,Sí,576
GOR_INV_220088042_ES.pdf,Número de factura (archivo),220088042,Sí,585
GOR_INV_220090977_ES.pdf,Número de factura (archivo),220090977,Sí,591
GOR_INV_220094929_ES.pdf,Número de factura (archivo),220094929,Sí,614
GOR_INV_220096364_ES.pdf,Número de factura (archivo),220096364,Sí,619
GOR_INV_220098078_ES.pdf,Número de factura (archivo),220098078,Sí,624
GOR_INV_220099645_ES.pdf,Número de factura (archivo),220099645,Sí,631
GOR_INV_220101546_ES.pdf,Número de factura (archivo),220101546,Sí,643
GOR_INV_220104861_ES.pdf,Número de factura (archivo),220104861,Sí,655
GOR_INV_220106502_ES.pdf,Número de factura (archivo),220106502,Sí,661
GOR_INV_220107882_ES.pdf,Número de factura (archivo),220107882,Sí,671
