Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
A.S. LA ATALAYA 4570.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00590-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00603-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00633-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00647-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00666-2022.pdf,No encontrado,(no encontrado),No,
GASTROBAR TELERITA factura mesa 7.pdf,No encontrado,(no encontrado),No,
LIDL SUPERMERCADOS 891523-05.pdf,No encontrado,(no encontrado),No,
MECADONA 4297-021-166295.pdf,No encontrado,(no encontrado),No,
MENÚ & SABOR 1-1-1-V14152.pdf,No encontrado,(no encontrado),No,
SECANETA 20220610_2805.pdf,No encontrado,(no encontrado),No,
SIEMPRE ASÍ CERVECERÍA T-210222.pdf,No encontrado,(no encontrado),No,
TINTO Y APARTE 200622.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022015915.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022015916.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-35981.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-36066.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-37141.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-37382.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-37875.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-40779.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-5593.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-5594.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-5628.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-6031.pdf,No encontrado,(no encontrado),No,
