Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ADIVIN F2022_118648.pdf,Número de factura (archivo),118648,Sí,758
ADIVIN F2022_118695.pdf,Número de factura (archivo),118695,Sí,759
ALQUILER FACTURA 11.pdf,Número de factura (PDF),11,Sí,745
AXON Invoice-66955.pdf,Número de factura (PDF),66955,Sí,809
BAZARES TULIPANES ROJOS 2022053426.pdf,Número de factura (archivo),2022053426,Sí,787
BAZARES TULIPANES ROJOS 2022057102.pdf,Número de factura (archivo),2022057102,Sí,823
BAZARES TULIPANES ROJOS 2022058061.pdf,Número de factura (archivo),2022058061,Sí,855
BORTRANSER Factura 1-000036.pdf,Número de factura (archivo),000036,Sí,730
CIFRA CE22187177.pdf,Número de factura (archivo),22187177,Sí,810
CODELCO 202103266.pdf,Número de factura (archivo),202103266,Sí,734
CORREOS 4003422587.pdf,Número de factura (archivo),4003422587,Sí,839
CORREOS 4200120853.pdf,Número de factura (archivo),4200120853,Sí,840
COSTCO 5477-2022-00237904.pdf,Número de factura (archivo),00237904,Sí,740
COSTCO 5477-2022-00531319.pdf,Número de factura (archivo),00531319,Sí,719
COSTCO 5477-2022-00535244.pdf,Número de factura (archivo),00535244,Sí,790
COSTCO 5477-2022-00535256.pdf,Número de factura (archivo),00535256,Sí,789
COSTCO 5477-2022-00539016.pdf,Número de factura (archivo),00539016,Sí,831
COSTCO 5477-2022-00539260.pdf,Número de factura (archivo),00539260,Sí,838
CREATIVELAB factura 7-002456.pdf,Número de factura (archivo),002456,Sí,791
DIGITAL GOLD FAA22201100.pdf,Número de factura (archivo),22201100,Sí,717
E.S. VALDEMORO FIE00932252.pdf,Número de factura (archivo),00932252,Sí,824
FIFTY FACTORY F0000000029.pdf,Número de factura (archivo),0000000029,Sí,757
FLYERALARM_ES220010583_20220610.pdf,Número de factura (archivo),220010583,Sí,746
GOOGLE 4209110097.pdf,Número de factura (archivo),4209110097,Sí,841
GOR_INV_220112636_ES.pdf,Número de factura (archivo),220112636,Sí,701
GOR_INV_220118403_ES.pdf,Número de factura (archivo),220118403,Sí,729
GOR_INV_220120106_ES.pdf,Número de factura (archivo),220120106,Sí,732
GOR_INV_220121640_ES.pdf,Número de factura (archivo),220121640,Sí,736
GOR_INV_220123034_ES.pdf,Número de factura (archivo),220123034,Sí,747
GOR_INV_220124587_ES.pdf,Número de factura (archivo),220124587,Sí,761
GOR_INV_220126189_ES.pdf,Número de factura (archivo),220126189,Sí,765
GOR_INV_220132634_ES.pdf,Número de factura (archivo),220132634,Sí,795
GOR_INV_220134316_ES.pdf,Número de factura (archivo),220134316,Sí,799
GOR_INV_220135951_ES.pdf,Número de factura (archivo),220135951,Sí,806
GOR_INV_220137443_ES.pdf,Número de factura (archivo),220137443,Sí,811
GOR_INV_220139724_ES.pdf,Número de factura (archivo),220139724,Sí,820
GOR_INV_220141212_ES.pdf,Número de factura (archivo),220141212,Sí,825
GOR_INV_220142673_ES.pdf,Número de factura (archivo),220142673,Sí,833
GOR_INV_220144050_ES.pdf,Número de factura (archivo),220144050,Sí,842
GRAMMA Factura  1-000400.pdf,Número de factura (archivo),000400,Sí,843
JACOBI CONSTRUCCIONES FACTURA 167-2022.pdf,Importe total,3630.0,Sí,818
JHK 2234086_ESCL007255.pdf,Número de factura (archivo),2234086,Sí,771
JHK 2237472_ESCL007255.pdf,Número de factura (archivo),2237472,Sí,826
JHK_2235643ESCL007255.pdf,Número de factura (archivo),2235643,Sí,798
M2M SISTEMAS Factura de clientes_2022001610_20220623_125355.pdf,Número de factura (archivo),2022001610,Sí,807
M2M SISTEMAS Factura de clientes_2022001611_20220623_125359.pdf,Número de factura (archivo),2022001611,Sí,808
