Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ACOMER HOSTELERÍA 021TB00350929.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00699-2022.pdf,No encontrado,(no encontrado),No,
LUXPRINT A1663.pdf,No encontrado,(no encontrado),No,
MARCAJES GALÁN F22-1620.pdf,No encontrado,(no encontrado),No,
MENÚ & SABOR F1-1-29.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-010-255361.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-014-341894.pdf,No encontrado,(no encontrado),No,
STAMPROF 202200211.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022016100.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022016101.pdf,No encontrado,(no encontrado),No,
TROFEOS BALBINO 159-22.pdf,No encontrado,(no encontrado),No,
TROFEOS BALBINO 162-22.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-42268.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-42838.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-42989.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-43093.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-43187.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-43317.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-45958.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-46874.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 4-22-6456.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-6284.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-6314.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-6456.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-6836.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-6975.pdf,No encontrado,(no encontrado),No,
