Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ADIVIN F2022_123616.pdf,Número de factura (archivo),123616,Sí,951
ADIVIN F2022_123865.pdf,Número de factura (archivo),123865,Sí,957
ADIVIN F2022_123872.pdf,Número de factura (archivo),123872,Sí,958
ALQUILER FACTURA 13.pdf,Número de factura (PDF),13,Sí,894
BIC GRAPHIC IN_RI_00346_22006238.pdf,Número de factura (archivo),22006238,Sí,968
BORTRANSER Factura 1-000051.pdf,Número de factura (archivo),51,Sí,891
BRICOMART F018-0007-261985.pdf,Número de factura (archivo),261985,Sí,922
CORREOS 4003448130.pdf,Número de factura (archivo),4003448130,Sí,990
CORREOS 4200127880.pdf,Número de factura (archivo),4200127880,Sí,991
COSTCO 5477-2022-00249490.pdf,Número de factura (archivo),249490,Sí,955
COSTCO 5477-2022-00360559.pdf,Número de factura (archivo),360559,Sí,942
COSTCO 5477-2022-00542326.pdf,Número de factura (archivo),542326,Sí,898
DANIEL AVILA 202229077.pdf,Número de factura (archivo),202229077,Sí,984
DELFIN ARTESANÍAS Factura 1-000377.pdf,Número de factura (archivo),377,Sí,877
DIGITAL GOLD FAA22201420.pdf,Número de factura (archivo),22201420,Sí,936
FALK & ROSS Factura_2022483152.pdf,Número de factura (archivo),2022483152,Sí,899
GOOGLE 4322823305.pdf,Número de factura (archivo),4322823305,Sí,986
GOR_INV_220145174_ES.pdf,Número de factura (archivo),220145174,Sí,860
GOR_INV_220146342_ES.pdf,Número de factura (archivo),220146342,Sí,874
GOR_INV_220147791_ES.pdf,Número de factura (archivo),220147791,Sí,880
GOR_INV_220149178_ES.pdf,Número de factura (archivo),220149178,Sí,889
GOR_INV_220150456_ES.pdf,Número de factura (archivo),220150456,Sí,895
GOR_INV_220151642_ES.pdf,Número de factura (archivo),220151642,Sí,900
GOR_INV_220156780_ES.pdf,Número de factura (archivo),220156780,Sí,915
GOR_INV_220159097_ES.pdf,Número de factura (archivo),220159097,Sí,925
GOR_INV_220160307_ES.pdf,Número de factura (archivo),220160307,Sí,929
GOR_INV_220161675_ES.pdf,Número de factura (archivo),220161675,Sí,937
GOR_INV_220162841_ES.pdf,Número de factura (archivo),220162841,Sí,940
GOR_INV_220167331_ES.pdf,Número de factura (archivo),220167331,Sí,960
