Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
AGUSTÍN VILAPLANA 221F0000748-00079F.PDF,No encontrado,(no encontrado),No,
CARDINAL 15 F-281.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA3260.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA3296.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA3447.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA3532.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA3537.pdf,No encontrado,(no encontrado),No,
COMUVARTE FA3654.pdf,No encontrado,(no encontrado),No,
DE LAGE LANDEN SP76312200070274.pdf,No encontrado,(no encontrado),No,
IBERDROLA 21220816010338154.pdf,No encontrado,(no encontrado),No,
JN BORDADOS FAC-FR22-1911-168787.pdf,No encontrado,(no encontrado),No,
LEROY MERLIN 046-0008-812501.pdf,No encontrado,(no encontrado),No,
LEROY MERLIN 046-0008-812892.pdf,No encontrado,(no encontrado),No,
MENÚ & SABOR F1-1-41.pdf,No encontrado,(no encontrado),No,
MENÚ & SABOR F1-1-43.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-010-272038.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-013-158026.pdf,No encontrado,(no encontrado),No,
REG. MERCANTILES DE MADRID 20220920095622.pdf,No encontrado,(no encontrado),No,
RTE. SIEMPRE ASÍ 02-08-22.pdf,No encontrado,(no encontrado),No,
SECANETA 20220831_4271.pdf,No encontrado,(no encontrado),No,
SECANETA 20220831_4281.pdf,No encontrado,(no encontrado),No,
SECANETA 20220831_4290.pdf,No encontrado,(no encontrado),No,
SERINPREN 001_fv22_022851.PDF,No encontrado,(no encontrado),No,
SOLRED 672476.pdf,No encontrado,(no encontrado),No,
SOL_S 2208FV00023.PDF,No encontrado,(no encontrado),No,
TED GIFTED 1152_08_22_WDTS.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-48589.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-48735.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-52000.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 4-22-7095.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-7478.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-7479.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-7483.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-7492.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-7493.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-7555.pdf,No encontrado,(no encontrado),No,
ZYAN DIGITAL 22F1-1-05390.pdf,No encontrado,(no encontrado),No,
