Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ADIVIN F2022_124354.pdf,Número de factura (archivo),124354,Sí,1004
ADIVIN F2022_124797.pdf,Número de factura (archivo),124797,Sí,1021
ADIVIN F2022_125409.pdf,Número de factura (archivo),125409,Sí,1036
ALQUILER FACTURA 15.pdf,Número de factura (PDF),15,Sí,1022
BORTRANSER Factura 1-000060.pdf,Número de factura (archivo),000060,Sí,1003
BRILDOR 000051482.pdf,Número de factura (archivo),000051482,Sí,1044
CORREOS 4003468222.pdf,Número de factura (archivo),4003468222,Sí,1062
CORREOS 4200130823.pdf,Número de factura (archivo),4200130823,Sí,1063
COSTCO 5477-2022-00001211.pdf,Número de factura (archivo),00001211,Sí,1013
COSTCO 5477-2022-00251412.pdf,Número de factura (archivo),00251412,Sí,1010
COSTCO 5477-2022-00363817.pdf,Número de factura (archivo),00363817,Sí,995
COSTCO 5477-2022-00365094.pdf,Número de factura (archivo),00365094,Sí,1017
COSTCO 5477-2022-00371701.pdf,Número de factura (archivo),00371701,Sí,1051
COSTCO 5477-2022-00551389.pdf,Número de factura (archivo),00551389,Sí,1016
COSTCO 5477-2022-00558459.pdf,Número de factura (archivo),00558459,Sí,1055
DIGITAL GOLD FAA22201503.pdf,Número de factura (archivo),22201503,Sí,1020
GOOGLE 4445202496.pdf,Número de factura (archivo),4445202496,Sí,1064
GOR_INV_220171714_ES.pdf,Número de factura (archivo),220171714,Sí,1008
GOR_INV_220174810_ES.pdf,Número de factura (archivo),220174810,Sí,1015
GOR_INV_220183390_ES.pdf,Número de factura (archivo),220183390,Sí,1040
GOR_INV_220186062_ES.pdf,Número de factura (archivo),220186062,Sí,1045
GOR_INV_220188800_ES.pdf,Número de factura (archivo),220188800,Sí,1054
GRAMMA Factura  1-000537.pdf,Número de factura (archivo),000537,Sí,1067
JHK 2244753_ESCL007255.pdf,Número de factura (archivo),2244753,Sí,999
MAKITO 2208101680.PDF,Número de factura (archivo),2208101680,Sí,1009
MAKITO 2208112738.PDF,Número de factura (archivo),2208112738,Sí,1029
MAKITO 2208112749.PDF,Número de factura (archivo),2208112749,Sí,1030
MAKITO 2208117213.PDF,Número de factura (archivo),2208117213,Sí,1046
MAKITO 2208118526.PDF,Número de factura (archivo),2208118526,Sí,1047
MAKITO 2208122018.PDF,Número de factura (archivo),2208122018,Sí,1066
MIDOCEAN_Invoice_103966288.pdf,Número de factura (archivo),103966288,Sí,1028
MRW 059569_FA59000945.pdf,Número de factura (archivo),59000945,Sí,1065
PLASPAP F-0219-22.pdf,Número de factura (PDF),00219,Sí,1049
RAMÓN LÓPEZ RL200453 LaImprentaBarata.pdf,Número de factura (archivo),200453,Sí,996
SERED Factura-SH-2022-123744.pdf,Número de factura (archivo),123744,Sí,1041
STAMPROF 202200238.pdf,Número de factura (archivo),202200238,Sí,1059
TEXTIL MALLORCA 2214551.pdf,Número de factura (archivo),2214551,Sí,1026
TEXTIL MALLORCA 2215356.pdf,Número de factura (archivo),2215356,Sí,1060
TIPSA FACTURA 2022-016265.pdf,Número de factura (archivo),016265,Sí,1069
TIPSA FACTURA 2022-016266.pdf,Número de factura (archivo),016266,Sí,1070
TOP TEX FACTURA  - F22031207.pdf,Número de factura (archivo),22031207,Sí,1025
TRANSPORTES MARCELO FACTURA 193.pdf,Número de factura (PDF),193,Sí,994
TRANSPORTES MARCELO FACTURA 196.pdf,Número de factura (PDF),196,Sí,1018
TRANSPORTES MARCELO FACTURA 200.pdf,Número de factura (PDF),200,Sí,1061
VAPVIP #129901.pdf,Número de factura (archivo),129901,Sí,1043
VODAFONE ZI22-002443209.pdf,Número de factura (archivo),002443209,Sí,997
VOLKSWAGEN RENTING S22402373.pdf,Número de factura (archivo),22402373,Sí,1019
