Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ADIVIN F2022_127423.pdf,No encontrado,(no encontrado),No,
AMAZON ES22RFTTAEUI.pdf,No encontrado,(no encontrado),No,
AMAZON NIEDERLASSUNG DE25C5B65AEUI.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00853-2022.pdf,No encontrado,(no encontrado),No,
BRIND.COM FT 2022_297.pdf,No encontrado,(no encontrado),No,
EUREST T-752.pdf,No encontrado,(no encontrado),No,
FUZHOU QIANYANG 2023514.pdf,No encontrado,(no encontrado),No,
LID SUPERMERCADOS T043825-05.pdf,No encontrado,(no encontrado),No,
LUXPRINT A1939.pdf,No encontrado,(no encontrado),No,
LUXPRINT_6FG10OTZ7.pdf,No encontrado,(no encontrado),No,
MENÚ & SABOR F1-1-71.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-021-196234.pdf,No encontrado,(no encontrado),No,
SHANXIRIYAO INV-ES-1511544685-2022-1.pdf,No encontrado,(no encontrado),No,
SHENZHEN TECHNOLOGY 2022-091801.pdf,No encontrado,(no encontrado),No,
TED GIFTED 0788_09_22_WDTS.pdf,No encontrado,(no encontrado),No,
TED GIFTED 0802_09_22_WDTS.pdf,No encontrado,(no encontrado),No,
TED GIFTED 0830_09_22_WDTS.pdf,No encontrado,(no encontrado),No,
TED GIFTED 0975_09_22_WDTS.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-53416.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-53868.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-53998.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-55490.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-56450.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-58016.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-58244.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-58360.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-58902.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-7780.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-8085.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-8160.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-8180.pdf,No encontrado,(no encontrado),No,
XU MEIYOU M2106815.pdf,No encontrado,(no encontrado),No,
