Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ADIVIN F2022_126856.pdf,Número de factura (archivo),126856,Sí,1098
ADIVIN F2022_127351.pdf,Número de factura (archivo),127351,Sí,1114
ADIVIN F2022_127353.pdf,Número de factura (archivo),127353,Sí,1116
ADIVIN F2022_127929.pdf,Número de factura (archivo),127929,Sí,1140
BORTRANSER Factura 1-000068.pdf,Número de factura (archivo),000068,Sí,1088
CARTUCHO.ES 2887755.pdf,Número de factura (archivo),2887755,Sí,1167
CIFRA CE22212624.pdf,Número de factura (archivo),22212624,Sí,1097
CIFRA CE22213999.pdf,Número de factura (archivo),22213999,Sí,1131
CIFRA CE22214102.pdf,Número de factura (archivo),22214102,Sí,1130
CIFRA CE22215318.pdf,Número de factura (archivo),22215318,Sí,1160
CIFRA CE22216330.pdf,Número de factura (archivo),22216330,Sí,1182
CORREOS 4003493303.pdf,Número de factura (archivo),4003493303,Sí,1200
CORREOS 4200139695.pdf,Número de factura (archivo),4200139695,Sí,1201
COSTCO 5477-2022-00380996.pdf,Número de factura (archivo),00380996,Sí,1209
COSTCO 5477-2022-00560103.pdf,Número de factura (archivo),00560103,Sí,1086
COSTCO 5477-2022-00564851.pdf,Número de factura (archivo),00564851,Sí,1149
COSTCO 5477-2022-00567768.pdf,Número de factura (archivo),00567768,Sí,1210
CREATIVELAB factura_7-003718.pdf,Número de factura (archivo),003718,Sí,1108
CREATIVELAB factura_7-003926.pdf,Número de factura (archivo),003926,Sí,1157
CREATIVELAB factura_7-003952.pdf,Número de factura (archivo),003952,Sí,1166
FALK & ROSS Factura_2022496962.pdf,Número de factura (archivo),2022496962,Sí,1199
GOOGLE 4567914392.pdf,Número de factura (archivo),4567914392,Sí,1198
GOR_INV_220190921_ES.pdf,Número de factura (archivo),220190921,Sí,1072
GOR_INV_220191884_ES.pdf,Número de factura (archivo),220191884,Sí,1081
GOR_INV_220193031_ES.pdf,Número de factura (archivo),220193031,Sí,1084
GOR_INV_220194230_ES.pdf,Número de factura (archivo),220194230,Sí,1095
GOR_INV_220196510_ES.pdf,Número de factura (archivo),220196510,Sí,1101
GOR_INV_220197419_ES.pdf,Número de factura (archivo),220197419,Sí,1105
GOR_INV_220203078_ES.pdf,Número de factura (archivo),220203078,Sí,1141
GOR_INV_220206840_ES.pdf,Número de factura (archivo),220206840,Sí,1156
GOR_INV_220214346_ES.pdf,Número de factura (archivo),220214346,Sí,1187
GOR_INV_220215687_ES.pdf,Número de factura (archivo),220215687,Sí,1197
GOR_RIN_221004906_ES.pdf,Número de factura (archivo),221004906,Sí,1104
GRAMMA Factura 1-000585.pdf,Número de factura (archivo),000585,Sí,1202
IMPRESORES DIGITALES 006622.pdf,Número de factura (archivo),006622,Sí,1184
JHK 2250031_ESCL007255.pdf,Número de factura (archivo),2250031,Sí,1092
JHK 2253858_ESCL007255.pdf,Número de factura (archivo),2253858,Sí,1172
M2M SISTEMAS Factura de clientes_2022002505_20220929_124934.pdf,Número de factura (archivo),2022002505,Sí,1180
MAKITO 2209106386.PDF,Número de factura (archivo),2209106386,Sí,1103
MAKITO 2209112373.PDF,Número de factura (archivo),2209112373,Sí,1133
MAKITO 2209118453.PDF,Número de factura (archivo),2209118453,Sí,1155
MAKITO 2209118454.PDF,Número de factura (archivo),2209118454,Sí,1154
MAKITO 2209121930.PDF,Número de factura (archivo),2209121930,Sí,1168
MAKITO 2209123579.PDF,Número de factura (archivo),2209123579,Sí,1175
MAKITO 2209123580.PDF,Número de factura (archivo),2209123580,Sí,1174
MAKITO 2209128641.PDF,Número de factura (archivo),2209128641,Sí,1186
MAKITO 2209130240.PDF,Número de factura (archivo),2209130240,Sí,1205
MAKITO 2209191008.PDF,Número de factura (archivo),2209191008,Sí,1185
MAKRO 0010-2022-249005.pdf,Número de factura (archivo),249005,Sí,1089
MRW 059569_FA59001127.pdf,Número de factura (archivo),59001127,Sí,1196
NEW WAVE Invoice_40317498.pdf,Número de factura (archivo),40317498,Sí,1136
NEW WAVE Invoice_40318099.pdf,Número de factura (archivo),40318099,Sí,1165
NEW WAVE Invoice_40318807.pdf,Número de factura (archivo),40318807,Sí,1195
PLASPAP F-0232-22 .pdf,Número de factura (PDF),00232,Sí,1134
PLOTTEARTIS 0016-22.pdf,Número de factura (PDF),0016/22,Sí,1176
RAMÓN LÓPEZ RL200467 LaImprentaBarata.pdf,Número de factura (archivo),200467,Sí,1074
REPSOL 033317-5-22-002237.pdf,Número de factura (archivo),002237,Sí,1145
SEANA TEXTIL FAC00005131.pdf,Número de factura (archivo),00005131,Sí,1206
SERED Factura-SH-2022-134350.pdf,Número de factura (archivo),134350,Sí,1121
SERED Factura-SH-2022-138995.pdf,Número de factura (archivo),138995,Sí,1170
SOL_S 2209FV03200.PDF,Número de factura (PDF),17,Sí,1106
TELPARK ES2022-1056095.pdf,Número de factura (archivo),1056095,Sí,1076
TELPARK ES2022-25297308.pdf,Importe total,2022.0,Sí,1107
TEXTIL MALLORCA 2216327.pdf,Número de factura (archivo),2216327,Sí,1124
TEXTIL MALLORCA 2217458.pdf,Número de factura (archivo),2217458,Sí,1193
TOP TEX FACTURA  - F22032757.pdf,Número de factura (archivo),22032757,Sí,1079
TOP TEX FACTURA  - F22033805.pdf,Número de factura (archivo),22033805,Sí,1110
TOP TEX FACTURA  - F22035538.pdf,Número de factura (archivo),22035538,Sí,1151
TOP TEX FACTURA  - F22037099.pdf,Número de factura (archivo),22037099,Sí,1190
TOP TEX FACTURA  - F22037104.pdf,Número de factura (archivo),22037104,Sí,1189
TOPTEX FACTURA  - F22035543.pdf,Número de factura (archivo),22035543,Sí,1150
TRANSPORTES MARCELO FACTURA 218.pdf,Número de factura (PDF),218,Sí,1109
TRANSPORTES MARCELO FACTURA 220.pdf,Número de factura (PDF),220,Sí,1123
TRANSPORTES MARCELO FACTURA SEPTIEMBRE-22.pdf,Número de factura (PDF),231,Sí,1207
UNITEDPRINT 44-22-7870.pdf,Importe total,31.0,Sí,1083
VALENTO FACTURA ELECTRONICA A855051.pdf,Número de factura (archivo),855051,Sí,1137
VODAFONE ZI22-002816369.pdf,Número de factura (archivo),002816369,Sí,1077
VOLKSWAGEN RENTING S22457665.pdf,Número de factura (archivo),22457665,Sí,1085
XINDAO invoice IN1246277.pdf,Número de factura (archivo),1246277,Sí,1094
ADIVIN FRECT2022_2875.pdf,Factura en nombre,2022_2875,Sí,1115
AGUSTÍN VILAPLANA 221F0000854-00079F.PDF,Factura en nombre,854,Sí,1080
AMAZON NIEDERLASSUNG DE24Z9N3IAEUI.pdf,Factura en nombre,24z9n3iaeu,Sí,1073
BAZARES TULIPANES ROJOS 2022082065.pdf,Factura en nombre,220,Sí,1123
CANAL ISABEL II 220006356165.pdf,Factura en nombre,6356165,Sí,1087
COMUVARTE FA3769.pdf,Factura en nombre,3769,Sí,1082
COMUVARTE FA3788.pdf,Factura en nombre,3788,Sí,1093
COMUVARTE FA3852.pdf,Factura en nombre,3852,Sí,1100
COMUVARTE FA4265.pdf,Factura en nombre,4265,Sí,1181
CRISTALERIAS PINTO F9064.pdf,Factura en nombre,9064,Sí,1162
DE LAGE LANDEN SP76312200078944.pdf,Factura en nombre,220,Sí,1123
EASYPARK Receipt_BI_531220223.pdf,Factura en nombre,220,Sí,1123
ESMALTADOS RIVER FAA494.pdf,Factura en nombre,a494,Sí,1099
GOYA Factura_VF2209_00367.pdf,Factura en nombre,220,Sí,1123
HELGUEFER F82.011.pdf,Factura en nombre,82.011,Sí,1177
HELGUEFER F82.031.pdf,Factura en nombre,82.031,Sí,1208
IBERDROLA 21220901010201885.pdf,Factura en nombre,10201885,Sí,1075
JN BORDADOS FAC-FR22-2120-171022.pdf,Factura en nombre,17,Sí,1106
JN BORDADOS FAC-FR22-2121-171023.pdf,Factura en nombre,17,Sí,1106
JOYLU SPORT - 22007763.pdf,Factura en nombre,220,Sí,1123
