Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
BOSQUE HOTELEROS 00918-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00972-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 00995-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 01000-2022.pdf,No encontrado,(no encontrado),No,
BURGUER KING FR295-232840.pdf,No encontrado,(no encontrado),No,
EL CORTIJO DE ACADI 031022.pdf,No encontrado,(no encontrado),No,
JOYLU SPORT 22008930.pdf,No encontrado,(no encontrado),No,
LUXPRINT_6G512IHLZ.pdf,No encontrado,(no encontrado),No,
MENÚ & SABOR F1-1-76.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-014-381272.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-014-388655.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-021-211738.pdf,No encontrado,(no encontrado),No,
MERCAMADRID 071022.pdf,No encontrado,(no encontrado),No,
PUBLIEMPRESA SEGOVIA A 22-615.pdf,No encontrado,(no encontrado),No,
RTE. CANTOBLANCO 201022.pdf,No encontrado,(no encontrado),No,
SECANETA 20221028_5204.pdf,No encontrado,(no encontrado),No,
SECANETA 20221028_5313.pdf,No encontrado,(no encontrado),No,
TED GIFTED0766_10_22_WDTS.pdf,No encontrado,(no encontrado),No,
TEJOBRINDE Factura GR_38554_20221011.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022016624.pdf,No encontrado,(no encontrado),No,
TIPSA FACTURA 2022016625.pdf,No encontrado,(no encontrado),No,
TROFEOS BALBINO 228-22.pdf,No encontrado,(no encontrado),No,
TROFEOS BALBINO 229-22.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-63422.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-66934.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-9090.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-9344.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-9989.pdf,No encontrado,(no encontrado),No,
