Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ADIVIN F2022_129815.pdf,Número de factura (archivo),129815.0,Sí,1248
ADIVIN F2022_130441.pdf,Número de factura (archivo),130441.0,Sí,1274
ADIVIN F2022_130596.pdf,Número de factura (archivo),130596.0,Sí,1281
ADIVIN F2022_131305.pdf,Número de factura (archivo),131305.0,Sí,1308
ADIVIN F2022_131520.pdf,Número de factura (archivo),131520.0,Sí,1321
ALQUILER FACTURA 19.pdf,Número de factura (PDF),19.0,Sí,1273
BAZARES TULIPANES ROJOS 2022091269.pdf,Número de factura (archivo),2022091269.0,Sí,1247
BAZARES TULIPANES ROJOS 2022099808.pdf,Número de factura (archivo),2022099808.0,Sí,1334
BBVA 220797A00476349.pdf,Número de factura (archivo),476349.0,Sí,1355
BORTRANSER Factura 1-000090.pdf,Número de factura (archivo),90.0,Sí,1286
BRILDOR 000056528.pdf,Número de factura (archivo),56528.0,Sí,1245
CASCO ANTIGUO FR22011623.PDF,Número de factura (archivo),22011623.0,Sí,1258
CORREOS 4003520298.pdf,Número de factura (archivo),4003520298.0,Sí,1381
CORREOS 4200151833.pdf,Número de factura (archivo),4200151833.0,Sí,1382
COSTCO 5477-2022-00386123.pdf,Número de factura (archivo),386123.0,Sí,1301
COSTCO 5477-2022-00568792.pdf,Número de factura (archivo),568792.0,Sí,1237
COSTCO 5477-2022-00569921.pdf,Número de factura (archivo),569921.0,Sí,1270
COSTCO 5477-20222-00574063.pdf,Número de factura (archivo),574063.0,Sí,1325
CREATIVELAB factura_7-004426.pdf,Número de factura (archivo),4426.0,Sí,1211
CREATIVELAB factura_7-004623.pdf,Número de factura (archivo),4623.0,Sí,1262
CREATIVELAB factura_7-004626.pdf,Número de factura (archivo),4626.0,Sí,1263
CREATIVELAB factura_7-004638.pdf,Número de factura (archivo),4638.0,Sí,1264
CREATIVELAB factura_7-004648.pdf,Número de factura (archivo),4648.0,Sí,1265
CREATIVELAB factura_7-004735.pdf,Número de factura (archivo),4735.0,Sí,1287
CREATIVELAB factura_7-004888.pdf,Número de factura (archivo),4888.0,Sí,1314
EASYPARK Parking_935733119.pdf,Importe total,448.0,Sí,1290
EASYPARK Receipt_BI_552911538.pdf,Número de factura (archivo),552911538.0,Sí,1290
ENERGÍA SOLAR LED 2022000973.pdf,Número de factura (archivo),2022000973.0,Sí,1322
FRAMA F2201302.pdf,Número de factura (archivo),2201302.0,Sí,1232
FRAMA R220071.pdf,Número de factura (archivo),220071.0,Sí,1249
GOOGLE 4592892280.pdf,Número de factura (archivo),4592892280.0,Sí,1377
GOR_INV_220218392_ES.pdf,Número de factura (archivo),220218392.0,Sí,1240
GOR_INV_220219695_ES.pdf,Número de factura (archivo),220219695.0,Sí,1254
GOR_INV_220224952_ES.pdf,Número de factura (archivo),220224952.0,Sí,1285
GOR_INV_220226532_ES.pdf,Número de factura (archivo),220226532.0,Sí,1291
GOR_INV_220229298_ES.pdf,Número de factura (archivo),220229298.0,Sí,1302
GOR_INV_220230700_ES.pdf,Número de factura (archivo),220230700.0,Sí,1310
GOR_INV_220232037_ES.pdf,Número de factura (archivo),220232037.0,Sí,1317
GOR_INV_220234512_ES.pdf,Número de factura (archivo),220234512.0,Sí,1329
GOR_INV_220238593_ES.pdf,Número de factura (archivo),220238593.0,Sí,1351
GOR_INV_220240819_ES.pdf,Número de factura (archivo),220240819.0,Sí,1367
GRAMMA Factura BUZOSALAO CREATIVE S.L. 1-000675.pdf,Número de factura (archivo),675.0,Sí,1383
JHK 2255498_ESCL007255.pdf,Número de factura (archivo),2255498.0,Sí,1241
JHK 2255773_ESCL007255.pdf,Número de factura (archivo),2255773.0,Sí,1250
JHK 2256370_ESCL007255.pdf,Número de factura (archivo),2256370.0,Sí,1268
JHK 2259712_ESCL007255.pdf,Número de factura (archivo),2259712.0,Sí,1344
JOYLU 22008672.pdf,Número de factura (archivo),22008672.0,Sí,1318
JOYLU 22008680.pdf,Número de factura (archivo),22008680.0,Sí,1319
M2M SISTEMAS Factura de clientes_2022002571_20221005_124534.pdf,Número de factura (archivo),2022002571.0,Sí,1242
MAKITO 2210102325.PDF,Número de factura (archivo),2210102325.0,Sí,1255
MAKITO 2210105382.PDF,Número de factura (archivo),2210105382.0,Sí,1269
MAKITO 2210107490.PDF,Número de factura (archivo),2210107490.0,Sí,1278
MAKITO 2210108045.PDF,Número de factura (archivo),2210108045.0,Sí,1283
