Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
AMAZON ES26P4MAEUC.pdf,No encontrado,(no encontrado),No,
AUTOPISTA SEITT 26829.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 01083-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS F01068-2022.pdf,No encontrado,(no encontrado),No,
BURGUER KING 315-203000.pdf,No encontrado,(no encontrado),No,
COSTCO 5477-2022-00389473.pdf,No encontrado,(no encontrado),No,
LUXPRINT_6H40WJ9AC.pdf,No encontrado,(no encontrado),No,
MARCAJES GALAN F22-2364.pdf,No encontrado,(no encontrado),No,
MERCADONA 010-306241.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-010-304645.pdf,No encontrado,(no encontrado),No,
MERCADONA 4297-015-185532.pdf,No encontrado,(no encontrado),No,
MESÓN SAYMI - II Y III 1611022.pdf,No encontrado,(no encontrado),No,
NIEVA TEXTIL Factura_fc22-10260.pdf,No encontrado,(no encontrado),No,
ONLINEPRINTERS INV_166793080522722_R04100135912.pdf,No encontrado,(no encontrado),No,
REST. SAYMI - II Y III 231122.pdf,No encontrado,(no encontrado),No,
REST. SAYMI - II Y III 281122.pdf,No encontrado,(no encontrado),No,
REST. SAYMI - II Y III 301122.pdf,No encontrado,(no encontrado),No,
RTE. CANTOBLANCO 251122.pdf,No encontrado,(no encontrado),No,
TED GIFTED 1174_11_22_WDTS.pdf,No encontrado,(no encontrado),No,
TOPMATE invoice_6300.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-72701.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-72742.pdf,No encontrado,(no encontrado),No,
TRUYOL factura_2022-74740.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-10101.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-10314.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-10324.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-10777.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-11015.pdf,No encontrado,(no encontrado),No,
XIN ER SHUN 1426.pdf,No encontrado,(no encontrado),No,
YUANPINGZHENG ES-00103.pdf,No encontrado,(no encontrado),No,
YUNCHENGSHI ES020.pdf,No encontrado,(no encontrado),No,
