Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ADIVIN F2022_132542.pdf,Número de factura (archivo),132542,Sí,1399
ADIVIN F2022_133378.pdf,Número de factura (archivo),133378,Sí,1434
ADIVIN F2022_134092.pdf,Número de factura (archivo),134092,Sí,1472
ADIVIN F2022_134093.pdf,Número de factura (archivo),134093,Sí,1473
ADIVIN F2022_134747.pdf,Número de factura (archivo),134747,Sí,1513
ALQUILER FACTURA 21.pdf,Número de factura (PDF),21,Sí,1423
BANDERAS GARSAN Factura A221444.pdf,Número de factura (archivo),221444,Sí,1435
BANDERAS GARSÁN Factura A221502.pdf,Número de factura (archivo),221502,Sí,1493
BAZARES TULIPANES ROJOS 2022106626.pdf,Número de factura (archivo),2022106626,Sí,1409
BAZARES TULIPANES ROJOS 2022109250.pdf,Número de factura (archivo),2022109250,Sí,1441
BORTRANSER Factura 1-000098.pdf,Número de factura (archivo),98,Sí,1408
CIFRA CE22233848.pdf,Número de factura (archivo),22233848,Sí,1424
CIFRA CE22238876.pdf,Número de factura (archivo),22238876,Sí,1520
CORREOS 4003541217.pdf,Número de factura (archivo),4003541217,Sí,1525
CORREOS 4200160283.pdf,Número de factura (archivo),4200160283,Sí,1534
CORREOS EXPRESS F221100693.pdf,Número de factura (archivo),221100693,Sí,1401
CORREOS EXPRESS F221105633.pdf,Número de factura (archivo),221105633,Sí,1483
COSTCO 5477-2022-00394890.pdf,Número de factura (archivo),394890,Sí,1452
COSTCO 5477-2022-00577518.pdf,Número de factura (archivo),577518,Sí,1390
COSTCO 5477-2022-00580236.pdf,Número de factura (archivo),580236,Sí,1427
COSTCO 5477-2022-00583316.pdf,Número de factura (archivo),583316,Sí,1474
COSTCO 5477-2022-00584170.pdf,Número de factura (archivo),584170,Sí,1503
CREATIVELAB factura_7-005036.pdf,Número de factura (archivo),5036,Sí,1391
CREATIVELAB factura_7-005039.pdf,Número de factura (archivo),5039,Sí,1392
CREATIVELAB factura_7-005080.pdf,Número de factura (archivo),5080,Sí,1410
DIGITAL GOLD FAA22202063.pdf,Número de factura (archivo),22202063,Sí,1449
FREEPIK invoice_INV-C-2022-1572943.pdf,Número de factura (archivo),1572943,Sí,1518
GOOGLE 4612761620.pdf,Número de factura (archivo),4612761620,Sí,1526
GOR_INV_220244520_ES.pdf,Número de factura (archivo),220244520,Sí,1403
GOR_INV_220247122_ES-ES.pdf,Número de factura (archivo),220247122,Sí,1414
GOR_INV_220248567_ES-ES.pdf,Número de factura (archivo),220248567,Sí,1421
GOR_INV_220253896_ES-ES.pdf,Número de factura (archivo),220253896,Sí,1438
GOR_INV_220255330_ES-ES.pdf,Número de factura (archivo),220255330,Sí,1445
GOR_INV_220259513_ES-ES.pdf,Número de factura (archivo),220259513,Sí,1469
GOR_INV_220262168_ES.pdf,Número de factura (archivo),220262168,Sí,1491
GOR_INV_220263461_ES.pdf,Número de factura (archivo),220263461,Sí,1494
GOR_INV_220264814_ES.pdf,Número de factura (archivo),220264814,Sí,1497
GOR_INV_220269677_ES.pdf,Número de factura (archivo),220269677,Sí,1516
GOR_INV_220271134_ES.pdf,Número de factura (archivo),220271134,Sí,1527
GOR_RIN_221006468_ES-ES.pdf,Número de factura (archivo),221006468,Sí,1460
GRAMMA Factura BUZOSALAO CREATIVE S.L. 1-000773.pdf,Número de factura (archivo),773,Sí,1529
GUZPACK C220113.pdf,Número de factura (archivo),220113,Sí,1396
HOLAFLY 151952.pdf,Número de factura (archivo),151952,Sí,1464
JHK 2263314_ESCL007255.pdf,Número de factura (archivo),2263314,Sí,1436
JHK 2264684_ESCL007255.pdf,Número de factura (archivo),2264684,Sí,1465
JHK 2264931_ESCL007255.pdf,Número de factura (archivo),2264931,Sí,1475
JHK_2262987ESCL007255.pdf,Número de factura (archivo),2262987,Sí,1429
M2M SISTEMAS Abono de clientes_22000216_20221123_172715.pdf,Número de factura (archivo),22000216,Sí,1492
M2M SISTEMAS Factura de clientes_22005349_20221118_125215.pdf,Número de factura (archivo),22005349,Sí,1462
M2M SISTEMAS Factura de clientes_22005371_20221122_124838.pdf,Número de factura (archivo),22005371,Sí,1479
MAKITO 2211102369.PDF,Número de factura (archivo),2211102369,Sí,1407
MAKITO 2211107312.PDF,Número de factura (archivo),2211107312,Sí,1422
MAKITO 2211109527.PDF,Número de factura (archivo),2211109527,Sí,1426
MAKITO 2211113387.PDF,Número de factura (archivo),2211113387,Sí,1439
MAKITO 2211115164.PDF,Número de factura (archivo),2211115164,Sí,1446
MAKITO 2211115165.PDF,Número de factura (archivo),2211115165,Sí,1447
MAKITO 2211115166.PDF,Número de factura (archivo),2211115166,Sí,1448
MAKITO 2211118599.PDF,Número de factura (archivo),2211118599,Sí,1463
MAKITO 2211120463.PDF,Número de factura (archivo),2211120463,Sí,1470
MAKITO 2211122645.PDF,Número de factura (archivo),2211122645,Sí,1480
MAKITO 2211122646.PDF,Número de factura (archivo),2211122646,Sí,1481
MAKITO 2211128652.PDF,Número de factura (archivo),2211128652,Sí,1498
MAKITO 2211132699.PDF,Número de factura (archivo),2211132699,Sí,1510
MAKITO 2211132700.PDF,Número de factura (archivo),2211132700,Sí,1511
MAKITO 2211191172.PDF,Número de factura (archivo),2211191172,Sí,1530
MIDOCEAN_Invoice_104147802.pdf,Número de factura (archivo),104147802,Sí,1415
MRW 059569_FA59001414.pdf,Número de factura (archivo),59001414,Sí,1528
MRW GETAFE Noviembre-007549_M00017909.pdf,Número de factura (archivo),17909,Sí,1537
NEW WAVE Invoice_40322897.pdf,Número de factura (archivo),40322897,Sí,1428
NEW WAVE Invoice_40324351.pdf,Número de factura (archivo),40324351,Sí,1505
NEW WAVE Invoice_95023636.pdf,Número de factura (archivo),95023636,Sí,1499
RAMÓN LÓPEZ RL200496 Imprimiendote.pdf,Número de factura (archivo),200496,Sí,1397
SEANA TEXTIL FAC00006469.pdf,Número de factura (archivo),6469,Sí,1531
SERED Factura-SH-2022-169808.pdf,Número de factura (archivo),169808,Sí,1500
SHENZHEN ROCKROLL Inv-DCJW4WQNj-221117.pdf,Número de factura (archivo),221117,Sí,1456
STAMPROF 202200344.pdf,Número de factura (archivo),202200344,Sí,1486
STAMPROF 202200353.pdf,Número de factura (archivo),202200353,Sí,1507
TEXTIL MALLORCA 2220514.pdf,Número de factura (archivo),2220514,Sí,1444
TEXTIL MALLORCA 2221423.pdf,Número de factura (archivo),2221423,Sí,1522
TOP TEX FACTURA  - F22043993.pdf,Número de factura (archivo),22043993,Sí,1431
TOP TEX FACTURA  - F22047201.pdf,Número de factura (archivo),22047201,Sí,1523
TRANSPORTES MARCELO NOVIEMBRE-22.pdf,Número de factura (PDF),279,Sí,1524
VALENTO FACTURA ELECTRONICA A877444.pdf,Número de factura (archivo),877444,Sí,1406
VALENTO FACTURA ELECTRONICA A888192.pdf,Número de factura (archivo),888192,Sí,1502
VODAFONE ZI22-003387584.pdf,Número de factura (archivo),3387584,Sí,1389
VOLKSWAGEN S22570220.pdf,Número de factura (archivo),22570220,Sí,1412
WURTH 4049640905.pdf,Número de factura (archivo),4049640905,Sí,1504
WURTH Factura 4049640905.pdf,Número de factura (archivo),4049640905,Sí,1504
XIN ER SHUN 202206746.pdf,Número de factura (archivo),202206746,Sí,1454
AGUSTÍN VILAPLANA 221F0001045-00079F.PDF,Factura en nombre,1045,Sí,1398
AGUSTÍN VILAPLANA 221F0001097-00079F.PDF,Factura en nombre,21,Sí,1423
AGUSTÍN VILAPLANA 221F0001113-00079F.PDF,Factura en nombre,21,Sí,1423
AMAZON ES23B52XAEUI.pdf,Factura en nombre,23b52xaeui,Sí,1432
AMAZON ES23D8HDAEUI.pdf,Factura en nombre,23d8hdaeui,Sí,1466
AMAZON ES23DACMAEUI.pdf,Factura en nombre,23dacmaeui,Sí,1467
AMAZON ES23FDXOAEUI.pdf,Factura en nombre,23fdxoaeui,Sí,1489
CANAL ISABEL II 220007909872.pdf,Factura en nombre,7909872,Sí,1404
CARLOS GARCÍA INV-ES-1133274585-2022-26.pdf,Factura en nombre,2022-26,Sí,1468
COMUVARTE FA4958.pdf,Factura en nombre,4958,Sí,1405
COMUVARTE FA5025.pdf,Factura en nombre,5025,Sí,1416
COMUVARTE FA5115.pdf,Factura en nombre,5115,Sí,1433
COMUVARTE FA5152.pdf,Factura en nombre,5152,Sí,1442
COMUVARTE FA5192.pdf,Factura en nombre,5192,Sí,1459
COMUVARTE FA5283.pdf,Factura en nombre,5283,Sí,1485
COMUVARTE FA5329.pdf,Factura en nombre,5329,Sí,1496
COMUVARTE FA5457.pdf,Factura en nombre,5457,Sí,1519
CORREOS FRO20222217977.pdf,Factura en nombre,222217977,Sí,1400
DE LAGE LANDEN SP76312200095694.pdf,Factura en nombre,2200095694,Sí,1482
DEPORTES JESÚS MANUEL MARTÍN D22-21.pdf,Factura en nombre,21,Sí,1423
