Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
AUTOPISTA R4 SEITT T8904370.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 01137-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 01153-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 01160-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 01164-2022.pdf,No encontrado,(no encontrado),No,
BOSQUE HOTELEROS 01181-2022.pdf,No encontrado,(no encontrado),No,
BURGUER KING 315-214995.pdf,No encontrado,(no encontrado),No,
BURGUER KING T315-210869.pdf,No encontrado,(no encontrado),No,
GRAFICAS IZQUIERDO Factura_num_0-22633.PDF,No encontrado,(no encontrado),No,
MÁS SABOR TB633629.pdf,No encontrado,(no encontrado),No,
REPSOL VALDEMORO FIE00945119.pdf,No encontrado,(no encontrado),No,
REPSOL invoice_01529-5-22000765.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-11514.pdf,No encontrado,(no encontrado),No,
UNITEDPRINT 44-22-11614.pdf,No encontrado,(no encontrado),No,
VALLES IMPORT 2K22-A136746.pdf,No encontrado,(no encontrado),No,
YUNCHENGSHI ES005.pdf,No encontrado,(no encontrado),No,
YUNCHENGSHI ES006.pdf,No encontrado,(no encontrado),No,
