Archivo,Método,Valor_detectado,¿Coincide?,Nº Orden
ADIVIN F2022_134962.pdf,Número de factura (archivo),134962,Sí,1538
ADIVIN F2022_135034.pdf,Número de factura (archivo),135034,Sí,1542
ADIVIN F2022_136462.pdf,Número de factura (archivo),136462,Sí,1621
ADIVIN F2022_136464.pdf,Número de factura (archivo),136464,Sí,1622
ALQUILER FACTURA 23.pdf,Número de factura (PDF),23,Sí,1561
BAZARES TULIPANES ROJOS 2022124592.pdf,Número de factura (archivo),2022124592,Sí,1587
BORTRANSER Factura 1-000116.pdf,Número de factura (archivo),000116,Sí,1557
CIFRA CE22244226.pdf,Número de factura (archivo),22244226,Sí,1567
CIFRA CE22246583.pdf,Número de factura (archivo),22246583,Sí,1604
COSTCO 5477-2022-00404111.pdf,Número de factura (archivo),00404111,Sí,1584
COSTCO 5477-2022-00588141.pdf,Número de factura (archivo),00588141,Sí,1555
COSTCO 5477-2022-00591904.pdf,Número de factura (archivo),00591904,Sí,1588
COSTCO 5477-2022-00593233.pdf,Número de factura (archivo),00593233,Sí,1609
FORLOZ 59.0381629.pdf,Número de factura (archivo),0381629,Sí,1610
GESIO 22-2146-G1_6174902.pdf,Número de factura (PDF),22-2146-G1,Sí,1570
GOMEZ TINEO 102454.pdf,Número de factura (archivo),102454,Sí,1636
GOOGLE 4637845063.pdf,Número de factura (archivo),4637845063,Sí,1628
GOR_INV_220272644_ES.pdf,Número de factura (archivo),220272644,Sí,1539
GOR_INV_220275229_ES.pdf,Número de factura (archivo),220275229,Sí,1546
GOR_INV_220275830_ES.pdf,Número de factura (archivo),220275830,Sí,1551
GOR_INV_220278056_ES.pdf,Número de factura (archivo),220278056,Sí,1559
GOR_INV_220282902_ES.pdf,Número de factura (archivo),220282902,Sí,1571
GOR_INV_220285652_ES.pdf,Número de factura (archivo),220285652,Sí,1585
GOR_INV_220288394_ES.pdf,Número de factura (archivo),220288394,Sí,1599
GOR_INV_220289747_ES.pdf,Número de factura (archivo),220289747,Sí,1603
GOR_INV_220290827_ES.pdf,Número de factura (archivo),220290827,Sí,1605
GRAMMA Factura 1-000842.pdf,Número de factura (archivo),000842,Sí,1627
JHK 2268653_ESCL007255.pdf,Número de factura (archivo),2268653,Sí,1568
JHK 2269187_ESCL007255.pdf,Número de factura (archivo),2269187,Sí,1573
JHK 2270373_ESCL007255.pdf,Número de factura (archivo),2270373,Sí,1597
JIM SPORTS Factura_A277153.pdf,Número de factura (archivo),277153,Sí,1606
M2M SISTEMAS Factura de clientes_2022003124_20221212_125108.pdf,Número de factura (archivo),2022003124,Sí,1560
MAKITO 2212101541.PDF,Número de factura (archivo),2212101541,Sí,1544
MAKITO 2212104369.PDF,Número de factura (archivo),2212104369,Sí,1556
MAKITO 2212110439.PDF,Número de factura (archivo),2212110439,Sí,1566
MAKITO 2212113016.PDF,Número de factura (archivo),2212113016,Sí,1574
MAKITO 2212114402.PDF,Número de factura (archivo),2212114402,Sí,1575
MAKITO 2212116014.PDF,Número de factura (archivo),2212116014,Sí,1579
MAKITO 2212116015.PDF,Número de factura (archivo),2212116015,Sí,1580
MAKITO 2212119562.PDF,Número de factura (archivo),2212119562,Sí,1589
MAKITO 2212128544.PDF,Número de factura (archivo),2212128544,Sí,1618
MAKITO 2212129713.PDF,Número de factura (archivo),2212129713,Sí,1623
MIDOCEAN_Invoice_104266914.pdf,Número de factura (archivo),104266914,Sí,1592
MIDOCEAN_Invoice_104291698.pdf,Número de factura (archivo),104291698,Sí,1629
